Date,Code,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
2023-05-10,76890,コパ・コーポレーション,Copa Corporation Inc.,13,商社・卸売,6050,卸売業,-,0113,グロース
2023-05-10,76900,カレント自動車,CURRENT MOTOR Corporation,13,商社・卸売,6050,卸売業,-,0105,TOKYO PRO MARKET
2023-05-10,76910,Ｃ　Ｃｈａｎｎｅｌ,C Channel Corporation,14,小売,6100,小売業,-,0105,TOKYO PRO MARKET
2023-05-10,76920,アースインフィニティ,EARTH INFINITY CO.LTD.,14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76930,北海道歯科産業,"Hokkaido Shika Sangyo Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0105,TOKYO PRO MARKET
2023-05-10,76940,いつも,itsumo.inc.,14,小売,6100,小売業,-,0113,グロース
2023-05-10,76950,交換できるくん,"Koukandekirukun,Inc.",14,小売,6100,小売業,-,0113,グロース
2023-05-10,76980,アイスコ,Iceco Inc.,13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76990,オムニ・プラス・システム・リミテッド,OMNI-PLUS SYSTEM LIMITED,13,商社・卸売,6050,卸売業,-,0113,グロース
2023-05-10,77010,島津製作所,Shimadzu Corporation,9,電機・精密,3750,精密機器,TOPIX Mid400,0111,プライム
2023-05-10,77020,ＪＭＳ,"JMS CO.,LTD.",9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77050,ジーエルサイエンス,GL Sciences Inc.,9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77070,プレシジョン・システム・サイエンス,"Precision System Science Co.,Ltd.",9,電機・精密,3750,精密機器,-,0113,グロース
2023-05-10,77090,クボテック,KUBOTEK CORPORATION,9,電機・精密,3750,精密機器,TOPIX Small 2,0112,スタンダード
2023-05-10,77110,助川電気工業,"SUKEGAWA ELECTRIC CO.,LTD.",9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77130,シグマ光機,"SIGMA KOKI CO.,LTD.",9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77150,長野計器,"NAGANO KEIKI CO.,LTD.",9,電機・精密,3750,精密機器,TOPIX Small 2,0111,プライム
2023-05-10,77160,ナカニシ,NAKANISHI INC.,9,電機・精密,3750,精密機器,-,0112,スタンダード
2023-05-10,77170,ブイ・テクノロジー,"V Technology Co.,Ltd.",9,電機・精密,3750,精密機器,TOPIX Small 1,0111,プライム
2023-05-10,77180,スター精密,"STAR MICRONICS CO.,LTD.",8,機械,3600,機械,TOPIX Small 1,0111,プライム
